[BEGIN] 2020/3/30 17:56:51
[2020/3/30 17:56:55] [root@vw-infotainment-752947:~]# top -m | grep MXNavi
[2020/3/30 18:10:57]  1962 1531m 1453m  672m 23236  610m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:02]  1962 1531m 1453m  673m 23236  611m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:08]  1962 1531m 1453m  663m 23236  601m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:13]  1962 1531m 1453m  681m 23236  619m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:18]  1962 1531m 1453m  691m 23236  629m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:24]  1962 1531m 1453m  703m 23236  641m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:29]  1962 1531m 1453m  700m 23236  638m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:35]  1962 1531m 1453m  719m 23236  657m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:40]  1962 1531m 1453m  705m 23236  643m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:46]  1962 1531m 1453m  706m 23236  644m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:51]  1962 1531m 1453m  706m 23236  644m     0   132 /usr/bin/MXNavi
[2020/3/30 18:11:56]  1962 1531m 1453m  706m 23236  644m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:02]  1962 1531m 1453m  673m 23236  611m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:07]  1962 1531m 1453m  690m 23236  628m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:13]  1962 1558m 1480m  731m 23236  669m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:18]  1962 1558m 1480m  723m 23236  661m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:23]  1962 1558m 1480m  723m 23236  661m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:29]  1962 1558m 1480m  723m 23236  661m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:34]  1962 1558m 1480m  738m 23236  676m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:40]  1962 1558m 1480m  732m 23236  669m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:45]  1962 1558m 1480m  732m 23236  670m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:51]  1962 1558m 1480m  739m 23236  676m     0   132 /usr/bin/MXNavi
[2020/3/30 18:12:56]  1962 1558m 1480m  742m 23236  679m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:01]  1962 1573m 1495m  746m 23236  684m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:07]  1962 1573m 1495m  747m 23236  685m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:12]  1962 1573m 1495m  759m 23236  697m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:18]  1962 1573m 1495m  763m 23236  701m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:23]  1962 1573m 1495m  778m 23236  715m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:29]  1962 1573m 1495m  770m 23236  708m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:34]  1962 1573m 1495m  786m 23236  724m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:40]  1962 1573m 1495m  779m 23236  717m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:45]  1962 1573m 1495m  780m 23236  718m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:50]  1962 1573m 1495m  780m 23236  718m     0   132 /usr/bin/MXNavi
[2020/3/30 18:13:56]  1962 1573m 1495m  780m 23236  718m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:01]  1962 1573m 1495m  740m 23236  678m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:06]  1962 1573m 1495m  740m 23236  678m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:12]  1962 1573m 1495m  739m 23236  677m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:17]  1962 1573m 1495m  739m 23236  677m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:23]  1962 1573m 1495m  739m 23236  677m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:28]  1962 1573m 1495m  739m 23236  677m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:34]  1962 1573m 1495m  739m 23236  677m     0   132 /usr/bin/MXNavi
[2020/3/30 18:14:39]  1962 1573m 1495m  739m 23236  676m     0   132 /usr/bin/MXNavi
